unix_time,frontend_0_100,sent_0_100,vjoy_axis,sim_connect
1778446204.215585,29.626168,29.626168,,0.0
1778446204.215585,22.942505,22.942505,,0.0
1778446204.215585,26.071028,26.071028,,0.0
1778446204.216588,43.473787,43.473787,,0.0
1778446204.275324,20.189404,20.189404,,0.0
1778446204.276824,17.766676,17.766676,,0.0
1778446204.277324,15.634675,15.634675,,0.0
1778446204.277324,10.654593,10.654593,,0.0
1778446204.281339,13.758514,13.758514,,0.0
1778446204.282339,12.107492,12.107492,,0.0
1778446204.329450,8.250917,8.250917,,0.0
1778446204.332968,9.376042,9.376042,,0.0
1778446204.341987,7.260807,7.260807,,0.0
1778446204.359696,6.38951,6.38951,,0.0
1778446204.388663,4.948037,4.948037,,0.0
1778446204.425401,3.831759,3.831759,,0.0
1778446204.554802,2.022142,2.022142,,0.0
1778446204.554802,2.967315,2.967315,,0.0
1778446204.563797,1.212669,1.212669,,0.0
1778446204.738988,0.383784,0.383784,,0.0
1778446204.918058,0.0,0.0,,0.0
1778446205.352877,3.25,3.25,,0.0
1778446205.356922,7.16,7.16,,0.0
1778446205.379651,12.9008,12.9008,,0.0
1778446205.383161,20.252704,20.252704,,0.0
1778446205.413225,28.77238,28.77238,,0.0
1778446205.414226,37.319694,37.319694,,0.0
1778446205.438704,44.841331,44.841331,,0.0
1778446205.446733,51.460371,51.460371,,0.0
1778446205.477925,57.285126,57.285126,,0.0
1778446205.619662,66.921602,66.921602,,0.0
1778446205.619662,77.457998,77.457998,,0.0
1778446205.620700,70.89101,70.89101,,0.0
1778446205.620700,74.384089,74.384089,,0.0
1778446205.623727,62.410911,62.410911,,0.0
1778446205.629241,80.163038,80.163038,,0.0
1778446205.691822,82.543474,82.543474,,0.0
1778446205.701072,84.638257,84.638257,,0.0
1778446205.701072,86.481666,86.481666,,0.0
1778446205.703094,88.103866,88.103866,,0.0
1778446205.703598,89.531402,89.531402,,0.0
1778446205.713166,90.787634,90.787634,,0.0
1778446205.738441,91.893118,91.893118,,0.0
1778446205.748295,92.865944,92.865944,,0.0
1778446205.766533,93.72203,93.72203,,0.0
1778446205.767532,95.13834,95.13834,,0.0
1778446205.817594,96.235131,96.235131,,0.0
1778446205.819258,97.084485,97.084485,,0.0
1778446205.888541,98.013158,98.013158,,0.0
1778446205.958549,98.95148,98.95148,,0.0
1778446206.159601,99.773865,99.773865,,0.0
1778446208.736984,97.496,97.496,,0.0
1778446208.742114,94.84648,94.84648,,0.0
1778446208.758688,75.826149,75.826149,,0.0
1778446208.767230,91.314902,91.314902,,0.0
1778446208.768476,81.73426,81.73426,,0.0
1778446208.768476,86.857114,86.857114,,0.0
1778446208.779320,68.727011,68.727011,,0.0
1778446208.801097,60.47977,60.47977,,0.0
1778446208.828430,36.269437,36.269437,,0.0
1778446208.829433,53.222198,53.222198,,0.0
1778446208.831122,46.835534,46.835534,,0.0
1778446208.832142,41.21527,41.21527,,0.0
1778446208.832646,31.917105,31.917105,,0.0
1778446208.856934,28.087052,28.087052,,0.0
1778446208.864457,24.716606,24.716606,,0.0
1778446208.906286,21.750613,21.750613,,0.0
1778446208.906286,16.843675,16.843675,,0.0
1778446208.908366,19.14054,19.14054,,0.0
1778446208.915897,14.822434,14.822434,,0.0
1778446208.952610,13.043742,13.043742,,0.0
